Приоритетна област	Дейност	Перо	Година	Средства в лв. от националния бюджет (без национални програми)	Средства от ЕС и други международни проекти и програми в лв.
Реализация в професиите на настоящето и бъдещето	"Дейност 301 ""Управление, контрол, регулиране и лицензиране на дейности по образованието"""	Персонал (§ 01-00, § 02-00, § 05-00)	2018	453891	0
Ефикасно управление и участие в мрежи	"Дейност 301 ""Управление, контрол, регулиране и лицензиране на дейности по образованието"""	Персонал (§ 01-00, § 02-00, § 05-00)	2018	13127944	1395697
Реализация в професиите на настоящето и бъдещето	"Дейност 301 ""Управление, контрол, регулиране и лицензиране на дейности по образованието"""	Издръжка (§ 10-00, § 19-00)	2018	142242	0
Ефикасно управление и участие в мрежи	"Дейност 301 ""Управление, контрол, регулиране и лицензиране на дейности по образованието"""	Издръжка (§ 10-00, § 19-00)	2018	3875758	1173476
Реализация в професиите на настоящето и бъдещето	"Дейност 301 ""Управление, контрол, регулиране и лицензиране на дейности по образованието"""	Капиталови разходи (§ 52-00, § 53-00)	2018	48702	0
Ефикасно управление и участие в мрежи	"Дейност 301 ""Управление, контрол, регулиране и лицензиране на дейности по образованието"""	Капиталови разходи (§ 52-00, § 53-00)	2018	210762	32841
Ефикасно управление и участие в мрежи	"Дейност 301 ""Управление, контрол, регулиране и лицензиране на дейности по образованието"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2018	1550	0
Ранно детско развитие 	"Дейност 311 ""Детски градини """	Персонал (§ 01-00, § 02-00, § 05-00)	2018	508802869	1532752
Ранно детско развитие 	"Дейност 311 ""Детски градини """	Издръжка (§ 10-00, § 19-00)	2018	172082983	2678090
Мотивирани и креативни учители	"Дейност 311 ""Детски градини """	Издръжка (§ 10-00, § 19-00)	2018	697939	0
Сплотени училищни общности и системна работа с родителите	"Дейност 311 ""Детски градини """	Издръжка (§ 10-00, § 19-00)	2018	523709	0
Ранно детско развитие 	"Дейност 311 ""Детски градини """	Текущи трансфери, обезщетения и помощи за домакинствата (§ 42-00) 	2018	64211	5379
Ранно детско развитие 	"Дейност 311 ""Детски градини """	Субсидии и разходи за членски внос (§ 43-00, § 45-00, § 46-00)	2018	368244	285023
Ранно детско развитие 	"Дейност 311 ""Детски градини """	Предоставени текущи и капиталови трансфери за чужбина (§ 49-00) 	2018	0	224200
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 311 ""Детски градини """	Капиталови разходи (§ 52-00, § 53-00)	2018	17474697	2609228
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 311 ""Детски градини """	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2018	12935037	25888625
Ранно детско развитие 	"Дейност 312 ""Специални групи в детски градини за деца със СОП"""	Персонал (§ 01-00, § 02-00, § 05-00)	2018	3830296	104260
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 312 ""Специални групи в детски градини за деца със СОП"""	Издръжка (§ 10-00, § 19-00)	2018	936171	205008
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 312 ""Специални групи в детски градини за деца със СОП"""	Капиталови разходи (§ 52-00, § 53-00)	2018	45146	0
Ранно детско развитие 	"Дейност 318 ""Подготвителна група в училище"""	Персонал (§ 01-00, § 02-00, § 05-00)	2018	14317479	61729
Ранно детско развитие 	"Дейност 318 ""Подготвителна група в училище"""	Издръжка (§ 10-00, § 19-00)	2018	5062455	128939
Ранно детско развитие 	"Дейност 318 ""Подготвителна група в училище"""	Текущи трансфери, обезщетения и помощи за домакинствата (§ 42-00) 	2018	4000	0
Ранно детско развитие 	"Дейност 318 ""Подготвителна група в училище"""	Субсидии и разходи за членски внос (§ 43-00, § 45-00, § 46-00)	2018	0	-13340
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 318 ""Подготвителна група в училище"""	Капиталови разходи (§ 52-00, § 53-00)	2018	385032	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 318 ""Подготвителна група в училище"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2018	8930	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 321 ""Специални училища и центрове за специална образователна подкрепа"""	Персонал (§ 01-00, § 02-00, § 05-00)	2018	27303541	114612
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 321 ""Специални училища и центрове за специална образователна подкрепа"""	Издръжка (§ 10-00, § 19-00)	2018	6263434	85446
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 321 ""Специални училища и центрове за специална образователна подкрепа"""	Стипендии (§ 40-00)	2018	133444	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 321 ""Специални училища и центрове за специална образователна подкрепа"""	Капиталови разходи (§ 52-00, § 53-00)	2018	225186	3774
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 321 ""Специални училища и центрове за специална образователна подкрепа"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2018	723052	0
Мотивирани и креативни учители	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	Персонал (§ 01-00, § 02-00, § 05-00)	2018	1160634460	28710392
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	Издръжка (§ 10-00, § 19-00)	2018	225364707	16035568
Компетентности и таланти 	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	Стипендии (§ 40-00)	2018	14660396	751634
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	Текущи трансфери, обезщетения и помощи за домакинствата (§ 42-00) 	2018	282642	114481
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	Субсидии и разходи за членски внос (§ 43-00, § 45-00, § 46-00)	2018	1691284	143475
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	Предоставени текущи и капиталови трансфери за чужбина (§ 49-00) 	2018	0	100449
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	Капиталови разходи (§ 52-00, § 53-00)	2018	23066683	2629256
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2018	19325494	48126730
Мотивирани и креативни учители	"Дейност 323 ""Училища по културата и училища по изкуствата"""	Персонал (§ 01-00, § 02-00, § 05-00)	2018	29150829	238513
Компетентности и таланти 	"Дейност 323 ""Училища по културата и училища по изкуствата"""	Издръжка (§ 10-00, § 19-00)	2018	5412921	85092
Компетентности и таланти 	"Дейност 323 ""Училища по културата и училища по изкуствата"""	Стипендии (§ 40-00)	2018	1044585	13800
Компетентности и таланти 	"Дейност 323 ""Училища по културата и училища по изкуствата"""	Текущи трансфери, обезщетения и помощи за домакинствата (§ 42-00) 	2018	2050	5680
Компетентности и таланти 	"Дейност 323 ""Училища по културата и училища по изкуствата"""	Субсидии и разходи за членски внос (§ 43-00, § 45-00, § 46-00)	2018	336	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 323 ""Училища по културата и училища по изкуствата"""	Капиталови разходи (§ 52-00, § 53-00)	2018	310028	3599
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 323 ""Училища по културата и училища по изкуствата"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2018	202698	0
Мотивирани и креативни учители	"Дейност 324 ""Спортни училища"""	Персонал (§ 01-00, § 02-00, § 05-00)	2018	18486950	322472
Компетентности и таланти 	"Дейност 324 ""Спортни училища"""	Издръжка (§ 10-00, § 19-00)	2018	4192329	266569
Компетентности и таланти 	"Дейност 324 ""Спортни училища"""	Стипендии (§ 40-00)	2018	540068	63900
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 324 ""Спортни училища"""	Капиталови разходи (§ 52-00, § 53-00)	2018	282049	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 324 ""Спортни училища"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2018	20450	613819
Мотивирани и креативни учители	"Дейност 325 ""Български училища в чужбина"""	Персонал (§ 01-00, § 02-00, § 05-00)	2018	1095897	0
Компетентности и таланти 	"Дейност 325 ""Български училища в чужбина"""	Издръжка (§ 10-00, § 19-00)	2018	1561804	0
Компетентности и таланти 	"Дейност 325 ""Български училища в чужбина"""	Предоставени текущи и капиталови трансфери за чужбина (§ 49-00) 	2018	10762449	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 325 ""Български училища в чужбина"""	Капиталови разходи (§ 52-00, § 53-00)	2018	31920	0
Мотивирани и креативни учители	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"""	Персонал (§ 01-00, § 02-00, § 05-00)	2018	248043904	8751969
Реализация в професиите на настоящето и бъдещето	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"""	Издръжка (§ 10-00, § 19-00)	2018	54348699	11663487
Реализация в професиите на настоящето и бъдещето	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"""	Стипендии (§ 40-00)	2018	9928084	2651396
Реализация в професиите на настоящето и бъдещето	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"""	Текущи трансфери, обезщетения и помощи за домакинствата (§ 42-00) 	2018	74289	25590
Реализация в професиите на настоящето и бъдещето	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"""	Субсидии и разходи за членски внос (§ 43-00, § 45-00, § 46-00)	2018	120271	425298
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"""	Капиталови разходи (§ 52-00, § 53-00)	2018	5271764	2903971
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2018	3386317	19079356
Мотивирани и креативни учители	"Дейност 327 ""Училища в места за лишаване от свобода"""	Персонал (§ 01-00, § 02-00, § 05-00)	2018	3428824	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 327 ""Училища в места за лишаване от свобода"""	Издръжка (§ 10-00, § 19-00)	2018	278717	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 327 ""Училища в места за лишаване от свобода"""	Капиталови разходи (§ 52-00, § 53-00)	2018	17413	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 332 ""Общежития"""	Персонал (§ 01-00, § 02-00, § 05-00)	2018	10282967	2622
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 332 ""Общежития"""	Издръжка (§ 10-00, § 19-00)	2018	3922548	115233
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 332 ""Общежития"""	Капиталови разходи (§ 52-00, § 53-00)	2018	47195	10533
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 332 ""Общежития"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2018	533620	1175205
Сплотени училищни общности и системна работа с родителите	"Дейност 333 ""Ученически почивни лагери"""	Персонал (§ 01-00, § 02-00, § 05-00)	2018	54075	0
Сплотени училищни общности и системна работа с родителите	"Дейност 333 ""Ученически почивни лагери"""	Издръжка (§ 10-00, § 19-00)	2018	241050	0
Сплотени училищни общности и системна работа с родителите	"Дейност 333 ""Ученически почивни лагери"""	Капиталови разходи (§ 52-00, § 53-00)	2018	10488	0
Мотивирани и креативни учители	"Дейност 334 ""Повишаване на квалификацията"""	Персонал (§ 01-00, § 02-00, § 05-00)	2018	353052	2661
Мотивирани и креативни учители	"Дейност 334 ""Повишаване на квалификацията"""	Издръжка (§ 10-00, § 19-00)	2018	427095	5569
Мотивирани и креативни учители	"Дейност 334 ""Повишаване на квалификацията"""	Капиталови разходи (§ 52-00, § 53-00)	2018	53928	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 336 ""Столове"""	Персонал (§ 01-00, § 02-00, § 05-00)	2018	4739411	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 336 ""Столове"""	Издръжка (§ 10-00, § 19-00)	2018	2649085	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 336 ""Столове"""	Предоставени текущи и капиталови трансфери за чужбина (§ 49-00) 	2018	0	13039
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 336 ""Столове"""	Капиталови разходи (§ 52-00, § 53-00)	2018	111666	0
Компетентности и таланти 	"Дейност 337 ""Център за подкрепа за личностно развитие"""	Персонал (§ 01-00, § 02-00, § 05-00)	2018	17099061	323472
Компетентности и таланти 	"Дейност 337 ""Център за подкрепа за личностно развитие"""	Издръжка (§ 10-00, § 19-00)	2018	4121529	150990
Компетентности и таланти 	"Дейност 337 ""Център за подкрепа за личностно развитие"""	Стипендии (§ 40-00)	2018	280	15000
Компетентности и таланти 	"Дейност 337 ""Център за подкрепа за личностно развитие"""	Текущи трансфери, обезщетения и помощи за домакинствата (§ 42-00) 	2018	38671	0
Компетентности и таланти 	"Дейност 337 ""Център за подкрепа за личностно развитие"""	Субсидии и разходи за членски внос (§ 43-00, § 45-00, § 46-00)	2018	1248	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 337 ""Център за подкрепа за личностно развитие"""	Капиталови разходи (§ 52-00, § 53-00)	2018	773562	3041
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 337 ""Център за подкрепа за личностно развитие"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2018	124252	475227
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 338 ""Ресурсно подпомагане"""	Персонал (§ 01-00, § 02-00, § 05-00)	2018	34664136	28238
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 338 ""Ресурсно подпомагане"""	Издръжка (§ 10-00, § 19-00)	2018	7439686	46684
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 338 ""Ресурсно подпомагане"""	Капиталови разходи (§ 52-00, § 53-00)	2018	442829	9770
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 338 ""Ресурсно подпомагане"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2018	12797	0
Компетентности и таланти 	"Дейност 359 ""Други дейности за децата"""	Персонал (§ 01-00, § 02-00, § 05-00)	2018	61742	64635
Ранно детско развитие 	"Дейност 359 ""Други дейности за децата"""	Издръжка (§ 10-00, § 19-00)	2018	54820	90312
Ранно детско развитие 	"Дейност 359 ""Други дейности за децата"""	Субсидии и разходи за членски внос (§ 43-00, § 45-00, § 46-00)	2018	0	16000
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 359 ""Други дейности за децата"""	Капиталови разходи (§ 52-00, § 53-00)	2018	28025	0
Компетентности и таланти 	"Дейност 369 ""Други дейности за младежта"""	Персонал (§ 01-00, § 02-00, § 05-00)	2018	1068028	297081
Компетентности и таланти 	"Дейност 369 ""Други дейности за младежта"""	Издръжка (§ 10-00, § 19-00)	2018	1200392	47647
Компетентности и таланти 	"Дейност 369 ""Други дейности за младежта"""	Текущи трансфери, обезщетения и помощи за домакинствата (§ 42-00) 	2018	9077	0
Компетентности и таланти 	"Дейност 369 ""Други дейности за младежта"""	Субсидии и разходи за членски внос (§ 43-00, § 45-00, § 46-00)	2018	472507	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 369 ""Други дейности за младежта"""	Капиталови разходи (§ 52-00, § 53-00)	2018	114363	1020
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 369 ""Други дейности за младежта"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2018	41491	0
Учене през целия живот 	"Дейност 388 ""Международни програми и споразумения, дарения и помощи от чужбина"""	Персонал (§ 01-00, § 02-00, § 05-00)	2018	331096	712584
Учене през целия живот 	"Дейност 388 ""Международни програми и споразумения, дарения и помощи от чужбина"""	Издръжка (§ 10-00, § 19-00)	2018	267394	3687956
Учене през целия живот 	"Дейност 388 ""Международни програми и споразумения, дарения и помощи от чужбина"""	Стипендии (§ 40-00)	2018	222681	12928
Учене през целия живот 	"Дейност 388 ""Международни програми и споразумения, дарения и помощи от чужбина"""	Текущи трансфери, обезщетения и помощи за домакинствата (§ 42-00) 	2018	971	241049
Учене през целия живот 	"Дейност 388 ""Международни програми и споразумения, дарения и помощи от чужбина"""	Субсидии и разходи за членски внос (§ 43-00, § 45-00, § 46-00)	2018	0	167921
Учене през целия живот 	"Дейност 388 ""Международни програми и споразумения, дарения и помощи от чужбина"""	Предоставени текущи и капиталови трансфери за чужбина (§ 49-00) 	2018	0	395185
Учене през целия живот 	"Дейност 388 ""Международни програми и споразумения, дарения и помощи от чужбина"""	Капиталови разходи (§ 52-00, § 53-00)	2018	68833	612272
Компетентности и таланти 	"Дейност 389 ""Други дейности по образованието"""	Персонал (§ 01-00, § 02-00, § 05-00)	2018	1735315	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 389 ""Други дейности по образованието"""	Персонал (§ 01-00, § 02-00, § 05-00)	2018	163193	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 389 ""Други дейности по образованието"""	Персонал (§ 01-00, § 02-00, § 05-00)	2018	445401	0
Реализация в професиите на настоящето и бъдещето	"Дейност 389 ""Други дейности по образованието"""	Персонал (§ 01-00, § 02-00, § 05-00)	2018	30759	0
Учене през целия живот 	"Дейност 389 ""Други дейности по образованието"""	Персонал (§ 01-00, § 02-00, § 05-00)	2018	705624	0
Ефикасно управление и участие в мрежи	"Дейност 389 ""Други дейности по образованието"""	Персонал (§ 01-00, § 02-00, § 05-00)	2018	15416392	5350986
Компетентности и таланти 	"Дейност 389 ""Други дейности по образованието"""	Издръжка (§ 10-00, § 19-00)	2018	741206	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 389 ""Други дейности по образованието"""	Издръжка (§ 10-00, § 19-00)	2018	178921	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 389 ""Други дейности по образованието"""	Издръжка (§ 10-00, § 19-00)	2018	701937	0
Реализация в професиите на настоящето и бъдещето	"Дейност 389 ""Други дейности по образованието"""	Издръжка (§ 10-00, § 19-00)	2018	77718	0
Учене през целия живот 	"Дейност 389 ""Други дейности по образованието"""	Издръжка (§ 10-00, § 19-00)	2018	352322	0
Ефикасно управление и участие в мрежи	"Дейност 389 ""Други дейности по образованието"""	Издръжка (§ 10-00, § 19-00)	2018	50387858	4157536
Ефикасно управление и участие в мрежи	"Дейност 389 ""Други дейности по образованието"""	Стипендии (§ 40-00)	2018	306248	18000
Ефикасно управление и участие в мрежи	"Дейност 389 ""Други дейности по образованието"""	Текущи трансфери, обезщетения и помощи за домакинствата (§ 42-00) 	2018	293955	0
Ефикасно управление и участие в мрежи	"Дейност 389 ""Други дейности по образованието"""	Субсидии и разходи за членски внос (§ 43-00, § 45-00, § 46-00)	2018	1244187	21081753
Ефикасно управление и участие в мрежи	"Дейност 389 ""Други дейности по образованието"""	Предоставени текущи и капиталови трансфери за чужбина (§ 49-00) 	2018	310979	90946
Компетентности и таланти 	"Дейност 389 ""Други дейности по образованието"""	Капиталови разходи (§ 52-00, § 53-00)	2018	124633	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 389 ""Други дейности по образованието"""	Капиталови разходи (§ 52-00, § 53-00)	2018	46440	0
Ефикасно управление и участие в мрежи	"Дейност 389 ""Други дейности по образованието"""	Капиталови разходи (§ 52-00, § 53-00)	2018	32437384	13128444
Ефикасно управление и участие в мрежи	"Дейност 389 ""Други дейности по образованието"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2018	4430659	55928946
Реализация в професиите на настоящето и бъдещето	"Дейност 301 ""Управление, контрол, регулиране и лицензиране на дейности по образованието"""	Персонал (§ 01-00, § 02-00, § 05-00)	2019	461492	0
Ефикасно управление и участие в мрежи	"Дейност 301 ""Управление, контрол, регулиране и лицензиране на дейности по образованието"""	Персонал (§ 01-00, § 02-00, § 05-00)	2019	14180860	1248609
Реализация в професиите на настоящето и бъдещето	"Дейност 301 ""Управление, контрол, регулиране и лицензиране на дейности по образованието"""	Издръжка (§ 10-00, § 19-00)	2019	122670	0
