Приоритетна област	Дейност	Перо	Година	Средства в лв. от националния бюджет (без национални програми)	Средства от ЕС и други международни проекти и програми в лв.
Реализация в професиите на настоящето и бъдещето	"Дейност 301 ""Управление, контрол, регулиране и лицензиране на дейности по образованието"""	Издръжка (§ 10-00, § 19-00)	2020	135451	0
Ефикасно управление и участие в мрежи	"Дейност 301 ""Управление, контрол, регулиране и лицензиране на дейности по образованието"""	Издръжка (§ 10-00, § 19-00)	2020	4383864	2151318
Ефикасно управление и участие в мрежи	"Дейност 301 ""Управление, контрол, регулиране и лицензиране на дейности по образованието"""	Текущи трансфери, обезщетения и помощи за домакинствата (§ 42-00) 	2020	1020	0
Реализация в професиите на настоящето и бъдещето	"Дейност 301 ""Управление, контрол, регулиране и лицензиране на дейности по образованието"""	Капиталови разходи (§ 52-00, § 53-00)	2020	12967	0
Ефикасно управление и участие в мрежи	"Дейност 301 ""Управление, контрол, регулиране и лицензиране на дейности по образованието"""	Капиталови разходи (§ 52-00, § 53-00)	2020	469500	0
Ранно детско развитие 	"Дейност 311 ""Детски градини """	Персонал (§ 01-00, § 02-00, § 05-00)	2020	663959844	10057330
Ранно детско развитие 	"Дейност 311 ""Детски градини """	Издръжка (§ 10-00, § 19-00)	2020	151641611	3779021
Сплотени училищни общности и системна работа с родителите	"Дейност 311 ""Детски градини """	Издръжка (§ 10-00, § 19-00)	2020	1155739	0
Ранно детско развитие 	"Дейност 311 ""Детски градини """	Текущи трансфери, обезщетения и помощи за домакинствата (§ 42-00) 	2020	6232	2087505
Ранно детско развитие 	"Дейност 311 ""Детски градини """	Субсидии и разходи за членски внос (§ 43-00, § 45-00, § 46-00)	2020	774420	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 311 ""Детски градини """	Предоставени текущи и капиталови трансфери за чужбина (§ 49-00) 	2020	0	38377
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 311 ""Детски градини """	Капиталови разходи (§ 52-00, § 53-00)	2020	29608143	2617514
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 311 ""Детски градини """	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2020	10928795	16091812.000000002
Ранно детско развитие 	"Дейност 312 ""Специални групи в детски градини за деца със СОП"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	3946346.9999999995	22143
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 312 ""Специални групи в детски градини за деца със СОП"""	Издръжка (§ 10-00, § 19-00)	2020	502841	1646
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 312 ""Специални групи в детски градини за деца със СОП"""	Капиталови разходи (§ 52-00, § 53-00)	2020	17651	0
Ранно детско развитие 	"Дейност 318 ""Подготвителна група в училище"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	18132814	377051.99999999994
Ранно детско развитие 	"Дейност 318 ""Подготвителна група в училище"""	Издръжка (§ 10-00, § 19-00)	2020	4766295.999999999	125047
Ранно детско развитие 	"Дейност 318 ""Подготвителна група в училище"""	Текущи трансфери, обезщетения и помощи за домакинствата (§ 42-00) 	2020	4458	1480
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 318 ""Подготвителна група в училище"""	Капиталови разходи (§ 52-00, § 53-00)	2020	33030	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 318 ""Подготвителна група в училище"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2020	71477	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 321 ""Специални училища и центрове за специална образователна подкрепа"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	39003321	49318.99999999999
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 321 ""Специални училища и центрове за специална образователна подкрепа"""	Издръжка (§ 10-00, § 19-00)	2020	6736724	43024
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 321 ""Специални училища и центрове за специална образователна подкрепа"""	Стипендии (§ 40-00)	2020	208188.00000000003	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 321 ""Специални училища и центрове за специална образователна подкрепа"""	Капиталови разходи (§ 52-00, § 53-00)	2020	622833	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 321 ""Специални училища и центрове за специална образователна подкрепа"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2020	354411	0
Мотивирани и креативни учители	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	1613955331	31876540
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	Издръжка (§ 10-00, § 19-00)	2020	217999095	12861756.000000002
Компетентности и таланти 	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	Стипендии (§ 40-00)	2020	14767553	118203
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	Текущи трансфери, обезщетения и помощи за домакинствата (§ 42-00) 	2020	79220	113601
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	Субсидии и разходи за членски внос (§ 43-00, § 45-00, § 46-00)	2020	3979131	330462.99999999994
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	Предоставени текущи и капиталови трансфери за чужбина (§ 49-00) 	2020	0	456208
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	Капиталови разходи (§ 52-00, § 53-00)	2020	37029531	3799218
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2020	22492225	33138186
Мотивирани и креативни учители	"Дейност 323 ""Училища по културата и училища по изкуствата"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	40621367	134653
Компетентности и таланти 	"Дейност 323 ""Училища по културата и училища по изкуствата"""	Издръжка (§ 10-00, § 19-00)	2020	4875510	80053
Компетентности и таланти 	"Дейност 323 ""Училища по културата и училища по изкуствата"""	Стипендии (§ 40-00)	2020	968678	0
Компетентности и таланти 	"Дейност 323 ""Училища по културата и училища по изкуствата"""	Текущи трансфери, обезщетения и помощи за домакинствата (§ 42-00) 	2020	1890	0
Компетентности и таланти 	"Дейност 323 ""Училища по културата и училища по изкуствата"""	Субсидии и разходи за членски внос (§ 43-00, § 45-00, § 46-00)	2020	36	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 323 ""Училища по културата и училища по изкуствата"""	Капиталови разходи (§ 52-00, § 53-00)	2020	634396	1062
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 323 ""Училища по културата и училища по изкуствата"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2020	75847	0
Мотивирани и креативни учители	"Дейност 324 ""Спортни училища"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	25865591	237525.99999999997
Компетентности и таланти 	"Дейност 324 ""Спортни училища"""	Издръжка (§ 10-00, § 19-00)	2020	3666915.0000000005	147084
Компетентности и таланти 	"Дейност 324 ""Спортни училища"""	Стипендии (§ 40-00)	2020	514056.00000000006	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 324 ""Спортни училища"""	Капиталови разходи (§ 52-00, § 53-00)	2020	852248	610
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 324 ""Спортни училища"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2020	10262	0
Мотивирани и креативни учители	"Дейност 325 ""Български училища в чужбина"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	1584445.0000000002	2880
Компетентности и таланти 	"Дейност 325 ""Български училища в чужбина"""	Издръжка (§ 10-00, § 19-00)	2020	1272351	0
Компетентности и таланти 	"Дейност 325 ""Български училища в чужбина"""	Предоставени текущи и капиталови трансфери за чужбина (§ 49-00) 	2020	12843492	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 325 ""Български училища в чужбина"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2020	5913	0
Мотивирани и креативни учители	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	357506620	5069446
Реализация в професиите на настоящето и бъдещето	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"""	Издръжка (§ 10-00, § 19-00)	2020	62297642	6706709
Реализация в професиите на настоящето и бъдещето	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"""	Стипендии (§ 40-00)	2020	12603595	61290
Реализация в професиите на настоящето и бъдещето	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"""	Текущи трансфери, обезщетения и помощи за домакинствата (§ 42-00) 	2020	48914	143137
Реализация в професиите на настоящето и бъдещето	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"""	Субсидии и разходи за членски внос (§ 43-00, § 45-00, § 46-00)	2020	420879	307760
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"""	Капиталови разходи (§ 52-00, § 53-00)	2020	9659178	404784.00000000006
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2020	8017749	2740
Мотивирани и креативни учители	"Дейност 327 ""Училища в места за лишаване от свобода"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	4295673	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 327 ""Училища в места за лишаване от свобода"""	Издръжка (§ 10-00, § 19-00)	2020	261041.99999999997	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 327 ""Училища в места за лишаване от свобода"""	Капиталови разходи (§ 52-00, § 53-00)	2020	8689	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 332 ""Общежития"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	12975080	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 332 ""Общежития"""	Издръжка (§ 10-00, § 19-00)	2020	3710047	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 332 ""Общежития"""	Текущи трансфери, обезщетения и помощи за домакинствата (§ 42-00) 	2020	437	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 332 ""Общежития"""	Капиталови разходи (§ 52-00, § 53-00)	2020	122282	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 332 ""Общежития"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2020	937154	0
Сплотени училищни общности и системна работа с родителите	"Дейност 333 ""Ученически почивни лагери"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	53782	10047
Сплотени училищни общности и системна работа с родителите	"Дейност 333 ""Ученически почивни лагери"""	Издръжка (§ 10-00, § 19-00)	2020	112923	8016.999999999999
Сплотени училищни общности и системна работа с родителите	"Дейност 333 ""Ученически почивни лагери"""	Капиталови разходи (§ 52-00, § 53-00)	2020	1593	0
Сплотени училищни общности и системна работа с родителите	"Дейност 333 ""Ученически почивни лагери"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2020	0	80281
Мотивирани и креативни учители	"Дейност 334 ""Повишаване на квалификацията"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	2593876	349709
Мотивирани и креативни учители	"Дейност 334 ""Повишаване на квалификацията"""	Издръжка (§ 10-00, § 19-00)	2020	1208197	253400.99999999997
Мотивирани и креативни учители	"Дейност 334 ""Повишаване на квалификацията"""	Субсидии и разходи за членски внос (§ 43-00, § 45-00, § 46-00)	2020	108255	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 334 ""Повишаване на квалификацията"""	Капиталови разходи (§ 52-00, § 53-00)	2020	21908	8337
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 336 ""Столове"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	4790443	22321
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 336 ""Столове"""	Издръжка (§ 10-00, § 19-00)	2020	2149034	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 336 ""Столове"""	Капиталови разходи (§ 52-00, § 53-00)	2020	52897	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 336 ""Столове"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2020	7205	0
Мотивирани и креативни учители	"Дейност 337 ""Център за подкрепа за личностно развитие"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	22950552.000000004	65019.00000000001
Компетентности и таланти 	"Дейност 337 ""Център за подкрепа за личностно развитие"""	Издръжка (§ 10-00, § 19-00)	2020	4151979.9999999995	3836
Компетентности и таланти 	"Дейност 337 ""Център за подкрепа за личностно развитие"""	Стипендии (§ 40-00)	2020	280	0
Компетентности и таланти 	"Дейност 337 ""Център за подкрепа за личностно развитие"""	Текущи трансфери, обезщетения и помощи за домакинствата (§ 42-00) 	2020	24791	0
Компетентности и таланти 	"Дейност 337 ""Център за подкрепа за личностно развитие"""	Субсидии и разходи за членски внос (§ 43-00, § 45-00, § 46-00)	2020	2270	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 337 ""Център за подкрепа за личностно развитие"""	Капиталови разходи (§ 52-00, § 53-00)	2020	294572	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 337 ""Център за подкрепа за личностно развитие"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2020	182548	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 338 ""Ресурсно подпомагане"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	56542342.99999999	34661
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 338 ""Ресурсно подпомагане"""	Издръжка (§ 10-00, § 19-00)	2020	10914576	5570
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 338 ""Ресурсно подпомагане"""	Стипендии (§ 40-00)	2020	880	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 338 ""Ресурсно подпомагане"""	Субсидии и разходи за членски внос (§ 43-00, § 45-00, § 46-00)	2020	86181	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 338 ""Ресурсно подпомагане"""	Капиталови разходи (§ 52-00, § 53-00)	2020	725222	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 338 ""Ресурсно подпомагане"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2020	17487	0
Компетентности и таланти 	"Дейност 359 ""Други дейности за децата"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	14800	16055
Ранно детско развитие 	"Дейност 359 ""Други дейности за децата"""	Издръжка (§ 10-00, § 19-00)	2020	56919	52263
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 359 ""Други дейности за децата"""	Капиталови разходи (§ 52-00, § 53-00)	2020	19975	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 359 ""Други дейности за децата"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2020	15048	134770
Компетентности и таланти 	"Дейност 369 ""Други дейности за младежта"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	1322331.9999999998	123574
Компетентности и таланти 	"Дейност 369 ""Други дейности за младежта"""	Издръжка (§ 10-00, § 19-00)	2020	935415.0000000001	53780
Компетентности и таланти 	"Дейност 369 ""Други дейности за младежта"""	Стипендии (§ 40-00)	2020	1200	0
Компетентности и таланти 	"Дейност 369 ""Други дейности за младежта"""	Текущи трансфери, обезщетения и помощи за домакинствата (§ 42-00) 	2020	798	0
Компетентности и таланти 	"Дейност 369 ""Други дейности за младежта"""	Субсидии и разходи за членски внос (§ 43-00, § 45-00, § 46-00)	2020	3004370	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 369 ""Други дейности за младежта"""	Капиталови разходи (§ 52-00, § 53-00)	2020	30905	38862
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 369 ""Други дейности за младежта"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2020	28942	0
Учене през целия живот 	"Дейност 388 ""Международни програми и споразумения, дарения и помощи от чужбина"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	36260.00000000001	1959483.0000000002
Учене през целия живот 	"Дейност 388 ""Международни програми и споразумения, дарения и помощи от чужбина"""	Издръжка (§ 10-00, § 19-00)	2020	134360	1681126.0000000002
Учене през целия живот 	"Дейност 388 ""Международни програми и споразумения, дарения и помощи от чужбина"""	Стипендии (§ 40-00)	2020	969	0
Учене през целия живот 	"Дейност 388 ""Международни програми и споразумения, дарения и помощи от чужбина"""	Текущи трансфери, обезщетения и помощи за домакинствата (§ 42-00) 	2020	0	3243163
Учене през целия живот 	"Дейност 388 ""Международни програми и споразумения, дарения и помощи от чужбина"""	Субсидии и разходи за членски внос (§ 43-00, § 45-00, § 46-00)	2020	0	2308145
Учене през целия живот 	"Дейност 388 ""Международни програми и споразумения, дарения и помощи от чужбина"""	Предоставени текущи и капиталови трансфери за чужбина (§ 49-00) 	2020	0	858292.9999999999
Учене през целия живот 	"Дейност 388 ""Международни програми и споразумения, дарения и помощи от чужбина"""	Капиталови разходи (§ 52-00, § 53-00)	2020	0	908872.9999999999
Учене през целия живот 	"Дейност 388 ""Международни програми и споразумения, дарения и помощи от чужбина"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2020	0	1816562
Компетентности и таланти 	"Дейност 389 ""Други дейности по образованието"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	2413564	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 389 ""Други дейности по образованието"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	189551	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 389 ""Други дейности по образованието"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	564902	0
Реализация в професиите на настоящето и бъдещето	"Дейност 389 ""Други дейности по образованието"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	38180	0
Учене през целия живот 	"Дейност 389 ""Други дейности по образованието"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	288869	0
Ефикасно управление и участие в мрежи	"Дейност 389 ""Други дейности по образованието"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	19017369	6196950.000000001
Компетентности и таланти 	"Дейност 389 ""Други дейности по образованието"""	Издръжка (§ 10-00, § 19-00)	2020	957294	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 389 ""Други дейности по образованието"""	Издръжка (§ 10-00, § 19-00)	2020	154644	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 389 ""Други дейности по образованието"""	Издръжка (§ 10-00, § 19-00)	2020	273372	0
Реализация в професиите на настоящето и бъдещето	"Дейност 389 ""Други дейности по образованието"""	Издръжка (§ 10-00, § 19-00)	2020	28442	0
Учене през целия живот 	"Дейност 389 ""Други дейности по образованието"""	Издръжка (§ 10-00, § 19-00)	2020	348054	0
Ефикасно управление и участие в мрежи	"Дейност 389 ""Други дейности по образованието"""	Издръжка (§ 10-00, § 19-00)	2020	46260209	3411553.0000000005
Ефикасно управление и участие в мрежи	"Дейност 389 ""Други дейности по образованието"""	Стипендии (§ 40-00)	2020	360303	0
Ефикасно управление и участие в мрежи	"Дейност 389 ""Други дейности по образованието"""	Текущи трансфери, обезщетения и помощи за домакинствата (§ 42-00) 	2020	97045	38157
Ефикасно управление и участие в мрежи	"Дейност 389 ""Други дейности по образованието"""	Субсидии и разходи за членски внос (§ 43-00, § 45-00, § 46-00)	2020	1243765	29984970
Ефикасно управление и участие в мрежи	"Дейност 389 ""Други дейности по образованието"""	Предоставени текущи и капиталови трансфери за чужбина (§ 49-00) 	2020	255471	114511
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 389 ""Други дейности по образованието"""	Капиталови разходи (§ 52-00, § 53-00)	2020	4652	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 389 ""Други дейности по образованието"""	Капиталови разходи (§ 52-00, § 53-00)	2020	13504	0
Ефикасно управление и участие в мрежи	"Дейност 389 ""Други дейности по образованието"""	Капиталови разходи (§ 52-00, § 53-00)	2020	45128795	1839843
Ефикасно управление и участие в мрежи	"Дейност 389 ""Други дейности по образованието"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2020	3536282	23415628
